id,name,box_art_url
509658,Just Chatting,https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-{width}x{height}.jpg
21779,League of Legends,https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-{width}x{height}.jpg
33214,Fortnite,https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-{width}x{height}.jpg
516575,VALORANT,https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-{width}x{height}.jpg
29595,Dota 2,https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-{width}x{height}.jpg
32982,Grand Theft Auto V,https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-{width}x{height}.jpg
512710,Call of Duty: Modern Warfare,https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Modern%20Warfare-{width}x{height}.jpg
493057,PLAYERUNKNOWNS BATTLEGROUNDS,https://static-cdn.jtvnw.net/ttv-boxart/PLAYERUNKNOWN%27S%20BATTLEGROUNDS-{width}x{height}.jpg
26936,Music & Performing Arts,https://static-cdn.jtvnw.net/ttv-boxart/Music%20&%20Performing%20Arts-{width}x{height}.jpg
32399,Counter-Strike: Global Offensive,https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-{width}x{height}.jpg
18122,World of Warcraft,https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-{width}x{height}.jpg
512804,FIFA 20,https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2020-{width}x{height}.jpg
511224,Apex Legends,https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-{width}x{height}.jpg
138585,Hearthstone,https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-{width}x{height}.jpg
27471,Minecraft,https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-{width}x{height}.jpg
513143,Teamfight Tactics,https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-{width}x{height}.jpg
490377,Sea of Thieves,https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-{width}x{height}.jpg
498566,Slots,https://static-cdn.jtvnw.net/ttv-boxart/Slots-{width}x{height}.jpg
488552,Overwatch,https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-{width}x{height}.jpg
491487,Dead by Daylight,https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-{width}x{height}.jpg
